id	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
1	2.10 	2.54 	3.04 	2.70 	1.80 	1.94 	1.93 	1.93 	4.52 	6.77 	2.22 	3.18 	2.04 	1.55 	1.74 	1.15 	1.74 	2.69 	2.00 	2.58 	1.69 
2	10.92 	10.70 	31.16 	19.30 	12.91 	7.02 	5.99 	4.11 	4.22 	11.57 	4.89 	13.19 	13.94 	9.02 	8.87 	12.80 	16.29 	47.28 	31.21 	14.53 	12.32 
3	3.31 	3.09 	6.11 	3.39 	3.32 	2.04 	1.75 	1.76 	3.22 	8.56 	3.02 	7.84 	4.97 	5.35 	3.98 	3.66 	5.60 	9.25 	5.58 	3.31 	1.90 
4	2.39 	2.26 	2.98 	2.41 	1.87 	1.44 	1.06 	0.99 	2.31 	3.85 	1.56 	2.73 	2.16 	1.45 	1.84 	1.63 	2.30 	3.54 	2.55 	2.39 	1.13 
5	3.03 	3.97 	24.65 	8.57 	5.67 	2.93 	6.34 	5.26 	-12.83 	-59.58 	-7.09 	-22.25 	-36.74 	5.44 	11.68 	9.24 	9.50 	14.88 	15.98 	14.92 	14.64 
6	6.83 	36.15 	35.53 	-18.04 	-19.36 	16.75 	8.49 	4.42 	4.29 	12.48 	4.46 	12.33 	11.85 	6.95 	3.01 	4.85 	11.74 	9.76 	4.28 	3.47 	1.50 
7	3.45 	2.74 	5.24 	3.92 	4.21 	3.80 	3.08 	1.86 	2.82 	8.92 	2.40 	5.96 	7.33 	4.49 	3.21 	3.70 	5.95 	6.45 	4.98 	3.11 	1.76 
8	5.28 	8.88 	13.04 	9.90 	7.06 	4.62 	4.20 	7.05 	15.23 	20.61 	19.56 	36.90 	46.36 	40.98 	49.02 	7.27 	7.97 	3.81 	2.85 	3.85 	6.37 
9	6.88 	21.18 	22.45 	15.81 	8.67 	4.63 	3.73 	4.49 	5.23 	12.12 	3.69 	9.63 	4.66 	3.25 	2.85 	2.58 	2.87 	4.12 	4.63 	3.42 	1.64 
10	1.98 	2.09 	9.41 	4.47 	3.16 	2.36 	2.54 	1.89 	4.24 	6.31 	2.31 	4.51 	6.42 	2.72 	2.51 	2.10 	2.21 	3.52 	3.01 	2.48 	1.26 
11	4.79 	-47.75 	6835.25 	6.17 	3.77 	2.30 	1.76 	1.90 	2.81 	7.39 	3.80 	6.97 	3.61 	1.76 	2.93 	3.40 	4.18 	6.43 	5.70 	2.94 	2.12 
12	2.72 	2.49 	2.49 	1.68 	1.39 	1.32 	1.02 	0.66 	0.74 	1.51 	1.00 	2.39 	1.43 	0.95 	0.94 	1.14 	1.76 	5.91 	3.74 	1.83 	0.96 
13	8.42 	12.43 	96.12 	-1.40 	-1.20 	-0.96 	-0.74 	-0.55 	-0.71 	-0.93 	-0.93 	-0.90 	-1.57 	-0.89 	-1.35 	346.40 	319.14 	651.40 	483.48 	215.01 	168.03 
14	4.06 	6.37 	10.27 	7.05 	6.04 	4.13 	3.47 	2.96 	2.93 	8.44 	5.18 	10.17 	9.17 	6.52 	9.52 	12.81 	33.12 	17.15 	10.22 	4.83 	15.31 
15	4.32 	5.94 	9.39 	6.17 	6.36 	4.92 	4.33 	3.55 	3.62 	12.04 	2.78 	5.93 	5.98 	2.18 	2.19 	1.98 	2.38 	5.49 	7.09 	6.37 	1.97 
16	7.24 	6.57 	20.47 	17.17 	8.50 	5.99 	3.65 	3.41 	4.82 	8.76 	2.74 	12.38 	10.01 	5.39 	6.29 	6.78 	8.08 	27.21 	19.83 	12.49 	9.14 
17	6.62 	8.59 	6.36 	3.79 	3.25 	3.18 	2.57 	2.04 	2.13 	4.23 	1.05 	3.12 	3.70 	1.67 	1.56 	1.60 	2.13 	3.41 	2.64 	2.44 	1.35 
