id	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	
1	0.15	0.18	0.2	0.2	0.05	0.15	0.15	0.15	0.1	0.05	0.07	0.1	0.13	0.18	0.41	0.5	0.72	0.79	0.9	1.045102	
2	0	0	0.05	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	0.025	0.01137																			
4	0.1	0.2	0.13	0.08		0.075	0.18	0.35	0.1	0.08	0.12	0.06	0.04	0.1	0.155	0.118	0.12	0.18	0.181	0.195	
5																		0			
6														0		0		0.01	0.05	0.01	
7										0.03	0.035	0.02		0.03	0.03	0.02	0.07	0.02	0.02	0.02	
8																					
9															0.25	0.22	0.08	0.18	0.3	0.3	
10		0.12	0.13	0.15	0.18	0.25	0.18	0.45	0.15	0.1	0.35	0.35	0.18	0.15	0.3	0.5	0.3	0.1	0.05	0.05	
11				0.03	0.032	0.03	0.035	0.006	0.025	0.03	0.03	0.035	0.02	0.025	0.015	0.019	0.037	0.015	0.01	0.066	
12	0.4	0.15						0.1	0	0.05	0.01	0.01	0.01	0.01	0.01	0.01			0.162	0.1	
13																					
14																	0	0.06	0.04		
15		0.0916	0.05											0.2	0		0	0.05		0.1	
16																					
17	0.03	0.05	0.06	0.1	0.1	0.15	0.15	0.4	0.4	0.15	0.2	0.15	0.1	0.02	0.05	0.05	0.05	0.05	0.05	0.1	
18	0.056	0.0506						0.01	0.11615	0.1096	0.0449		0.03	0.03	0.04	0.04	0.05	0.04	0.05	0.06	
19																				0	
20	0.1		0.05						0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.200813	
21							0.038	0.09		0.1	0.1	0.12	0.13	0.18	0.18	0.2	0.3	0.33	0.3	0.4	
22																				0.2	
23															0.1	0.1	0.15	0.2	0.2	0.15	
24				0.06	0.2		0		0.05	0.02	0.02	0.02	0.03	0.03	0.03	0.035	0.04	0.04	0.055	0.11	
25	0.08	0.1	0.1	0.2	0.12	0.08	0.11	0.15	0.12	0.17	0.1	0.08		0.18	0.03	0.05	0.02	0.02	0.02	0.08	
26																			0.038	0.253	
27																	0				
28		0.1				0.05												0.3	0.5	0.6	
29																		0.1	0.4		
30	0.2	0.2	0.5		0.38	0.5	0.38	0.43	0.5	0.15	0.12	0.35	0.46	0.23	0.27	0.31	0.22	0.06	0.27	0.55	
31	0.15	0.15	0.13	0.08	0.06	0.05		0.18	0.2	0.02	0.15	0.6	0.4	0.52	0.3	0.15	0.200072	0.08	0.2	0.1	
32	0.1	0.08		0.1	0.1	0.1	0.1	0.25	0.25	0.05		0.15	0.2	0.1	0.2	0.1	0.05	0.07	0.1	0.3	
33					0.18	0.06	0.05			0.05											
34		0.084	0.1	0.1	0.025	0.025			0.0667	0.05	0.1	0.05	0.06	0.1	0.15	0.15	0.15	0.15	0.15	0.15	
35	0.03																				
36								0.1				0.1	0.25		0.2	0.2	0.15	0.25	0.25	0.25	
37	0.1	0.17514	0.15		0	0.1	0.05	0.2	0.1					0.06	0.1	0.1	0.06	0.06	0.07	0.07	
38		0.12	0.1	0.07	0.03			0	0		0	0		0.03	0.03	0.03	0.1	0.35	0.15	0.2	
39	0.05														0		0		0.04	0.010006	
40	0.06459				0.112				0.025	0.02							0.03	0.03	0.055	0.035	
41	0.4							0.064			0.04		0.1					0.224		0.25	
42	0.1	0.2		0.06	0.1	0.125	0.1	0.68	0.346	0.095	0.028	0.02	0.072	0.045	0.03	0.03	0.01	0.03	0.25	0.08	
43	0.3	0.2	0.2			0.05			0.1	0.15	0.1	0.11	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0.01	
44	0.1	0.1	0.1	0.1	0.1	0.1	0.08752	0.05	0.05	0.05	0.05	0.05		0.15	0.3	0.05	0.1	0.2	0.35	0.25	
45	0		0.15	0.2	0.3	0.25	0.25	0.15	0.25	0.3	0.3	0.3	0.2		0.03	0.2	0.25				
46			0.06			0.06		0.06		0.06	0.08	0.06	0.06	0.06	0.08	0.08	0.08	0.09	0.12	0.08	
47	0.2	0.1	0.2	0.2	0.1	0.3	0.3	0.1	0.023		0.085	0.05	0.023						0.06	0.05	
48		0.08	0.03	0.05		0.1		0.02													
49	0.25	0	0.25	0.15			0.2	0.21	0.23	0.12	0.1	0.06	0.06	0.07	0.070002	0.07	0.07	0.1	0.3	0.3	
50		0.28	0.05			0.03								0.035	0.03	0.026	0.03	0.075	0.036	0.045	
51		0.13778	0					0									0			0.02	
52	0.126	0.13	0.5	0.1	1	0.65	0.65	0.3	0.239	0.24	0.22	0.03	0.35	0.1	0.033	0.052	0.025	0.016	0.021	0.027	
53		0.4	0.32			0.15	0.27	0.16	0.16	0.03	0.035	0.045	0.056	0.035	0.035	0.028	0.058	0.095	0.11	0.086	
54	0.2	0.15	0.2	0.108	0.084	0.018	0.117	0.15	0.14	0	0.02	0.075	0.035	0.05	0.206	0.23	0.2	0.2	0.2	0.25	
55		0.11	0.15	0.2	0.125	0.135	0.06	0.16	0.16	0.08			0.06	0.02	0.02	0.02	0.02	0.1	0.02	0.02	
56		0.2	0.1	0.06	0.2	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.075	0.075	0.075		0.015	0.025	
57					0.08	0.05						0	0.05	0.038	0.06	0.08	0.08	0.08	0.1	0.1	
58		0.1																0.2	0.1	0	
59		0.16	0.22	0.13	0.1	0.13	0.12	0.14	0.14	0.09	0.07	0.02		0.07	0.3	0.4	0.4	0.3	0.25	0.2	
60						0								0.1			0.1			0.1	
61		0.05	0.08														0.035	0.14	0.2	0.22	
62		0.1	0.1		0.025	0.4	0.04	0.04	0.1	0.1	0.25	0.26	0.25	0.2	0.15	0.05	0.15	0.15	0.2	0.25	
63		0.1	0.1	0.1	0.09	0.06	0.04	0.05	0.043			0.02					0.04	0.06	0.05		
64										0.03	0.5	0.04	0.04	0.045	0.03	0.03	0.03	0.03		0.03	
65		0.05	0.07	0.07	0.07			0.15		0.07		0.07		0.05	0.05	0.05	0.05	0.05	0.1	0.1	
66															2	1	1.2	1	1.2	1.303962	
67								0.13	0.44	0.13	0.48	0.43	0.1	0.23	0.15	0.15	0.1	0.25	0.25	0.28	
68	0	0.2	0.2	0.1	0.12	0.12			0.1			0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.02	0.048	
69	0.1	0.14	0.1	0.1	0.1	0.1		0.1	0.12	0.1				0.1	0.1	0.05				0.4	
70	0	0.1	0.05	0.2	0.3	0.3	0.2	0.25	0.3	0.15	0.15	0.25	0.1	0.15	0.25	0.25	0.4	0.4	0.3	0.3	
71		0.1																			
72		0.09095													0.03	0.06	0.08	0.04	0.026	0.02	
73	0.3		0.02						0												
74																	0				
75		0.02						0.05					0.06			0.02					
76									0											0.13	
77															0	0.1	0.07	0.07	0.07	0.07	
78	0.15	0.15	0.1	0.1	0	0.1	0.1	0.1	0.15	0.15	0.1	0.1	0.12	0.1	0.18	0.18	0.12	0.15	0.15	0.15	
79		0.1	0.1			0.1			0.1	0.12	0.1		0.2	0.1	0.1	0.1		0.12		0.16	
80	0.1	0.12			0.1		0.08														
81		0.1	0.1	0.1	0.1	0.15	0.2	0.12	0.22	0.15	0.1	0.1	0.04327	0.1	0.01	0.01	0.01				
82	0.2	0.2	0.2	0.25	0.05	0.2	0.2	0.2	0.2	0.16	0.35	0.3	0.3	0.7	0.7	0.8	0.8	0.9	0.9	1.00953	
83	0	0.08	0.05	0.04	0.1				0.06		0.33405	0.12	0.25	0.13	0.1	0.06		0.015	0.04	0.06	
84		0.025	0.025				0	0					0.06	0.035	0.02	0.02		0.02	0.019902		
85			0.4	0.15	0.15	0.1		0		0.1	0.01	0		0.03	0.017						
86	0.15	0.1	0.1	0.1	0.1	0.12	0.16	0.17	0.24	0.1	0.1	0.1	0.05	0.05	0.05	0.1	0.15	0.336	0.506	0.562	
87				0.025														0.084			
88		0.3		0.05	0.1	0.1	0.12	0.12	0.16	0.05	0.3	0.3	0.15	0.06	0.3	0.14	0.3	0.6	0.6	0.24	
89																			0.06	0.075	
90		0.04														0.4		0.42	0.08	0.2	
91																					
92		0.03			0.1							0									
93					0.03																
94																					
95														0.05	0.025						
96								0.1	0.1	0.03	0.06	0.035	0.1	0.05	0.02	0.015	0.02	0.02	0.036	0.042429	
97		0.1																			
98		0		0.025		0.05		0.042	0.053										0.04		
