id	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
1	8.4	9.75	13.99	13.35	9.65	6.54	5.26	4.31	15.44	28.84	6.45	10.81	8.22	7.47	10.12	8.03	13.9	24.43	20.55	31.06	23.82
2	9.09	8.51	33	22.03	14.99	8.38	6.81	4.14	4.1	9.96	3.56	10	12.04	8.09	8.18	11.65	15.57	45.9	44.9	22.38	16.03
3	5.84	6.04	7.73	5.17	4.56	2.67	2.2	1.64	2.49	7.11	2.48	6.02	3.67	3.86	2.97	2.5	4.1	10.04	6.76	4.14	2.68
4	10.35	9.46	13.21	11.15	8.17	5.25	4.13	4.27	13.41	26.15	4.93	11.33	6.97	4.1	4.95	4.93	7.05	11.51	9.45	9.85	5.18
5	7.5	8	13.3	8.73	7.86	4.75	3.38	3.22	2.42	7.52	3.24	7.03	8.55	6.58	14.47	13.88	14.6	23.79	25.63	16.66	8.06
6	8.34	42.3	50.31	11.96	8.59	6.95	8.4	4.06	4.17	12.41	4.42	12.28	11.97	6.97	10.73	9	22.09	11.78	9.32	8.75	3.89
7	4.34	3.54	7.12	4.89	5.01	4.51	3.43	2.31	4.23	15.9	3.98	10.98	16.77	10.9	8.8	9.45	12.95	17.96	10.36	7.23	4.31
8	15.95	7.35	13.67	10.15	7.82	5.34	4.44	2.82	5.37	15.54	5.16	11.86	14.63	14.63	18.7	7.67	7.4	10.1	7.69	5.42	3.26
9	6.94	6.54	10.95	8.34	5.41	4.05	3.8	5.22	5.7	12.66	3.89	10.69	6.83	6.17	7.19	7.81	9.98	14.52	18.73	16.79	9.18
10	5.65	5.4	25.47	12.18	8.91	7.35	8.75	4.62	11	21.3	8.5	19.6	19.75	9.06	8.25	8.14	8.89	13.35	11.34	8.45	3.99
11	6.37	6.27	14.5	13.2	9.7	6.69	5.61	6.64	7.23	19.26	7.36	15.5	9.19	4.9	8.48	10.26	13.8	22.81	20.79	10.78	9.29
